  0%|                                                            | 0/1280 [00:00<?, ?it/s]/opt/conda/lib/python3.11/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                          
{'loss': 1.4085, 'grad_norm': 0.14525796473026276, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.1777, 'grad_norm': 0.060598552227020264, 'learning_rate': 0.0005384615384615384, 'epoch': 0.02}
{'loss': 1.1478, 'grad_norm': 0.06336016952991486, 'learning_rate': 0.0005641025641025641, 'epoch': 0.02}
{'loss': 1.1075, 'grad_norm': 0.07436615228652954, 'learning_rate': 0.0005897435897435898, 'epoch': 0.02}
{'loss': 1.1518, 'grad_norm': 0.07156071066856384, 'learning_rate': 0.0006153846153846154, 'epoch': 0.02}
{'loss': 1.1387, 'grad_norm': 0.05642424523830414, 'learning_rate': 0.0006410256410256411, 'epoch': 0.02}
{'loss': 1.1269, 'grad_norm': 0.06050650775432587, 'learning_rate': 0.0006666666666666666, 'epoch': 0.02}
{'loss': 1.1478, 'grad_norm': 0.0679503008723259, 'learning_rate': 0.0006923076923076923, 'epoch': 0.02}
{'loss': 1.1307, 'grad_norm': 0.06329425424337387, 'learning_rate': 0.000717948717948718, 'epoch': 0.02}
{'loss': 1.1408, 'grad_norm': 0.06731275469064713, 'learning_rate': 0.0007435897435897436, 'epoch': 0.02}
{'loss': 1.1321, 'grad_norm': 0.06389084458351135, 'learning_rate': 0.0007692307692307693, 'epoch': 0.02}
{'loss': 1.1516, 'grad_norm': 0.06454984098672867, 'learning_rate': 0.0007948717948717948, 'epoch': 0.03}
{'loss': 1.147, 'grad_norm': 0.06951244175434113, 'learning_rate': 0.0008205128205128205, 'epoch': 0.03}
{'loss': 1.1429, 'grad_norm': 0.07925930619239807, 'learning_rate': 0.0008461538461538462, 'epoch': 0.03}
{'loss': 1.1518, 'grad_norm': 0.05860145017504692, 'learning_rate': 0.0008717948717948718, 'epoch': 0.03}
{'loss': 1.1364, 'grad_norm': 0.05658531188964844, 'learning_rate': 0.0008974358974358974, 'epoch': 0.03}
{'loss': 1.1364, 'grad_norm': 0.06319845467805862, 'learning_rate': 0.0009230769230769232, 'epoch': 0.03}
{'loss': 1.1318, 'grad_norm': 0.060582488775253296, 'learning_rate': 0.0009487179487179487, 'epoch': 0.03}
[2026-02-12 13:36:41,127] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 1.122, 'grad_norm': 0.050164420157670975, 'learning_rate': 0.0009743589743589744, 'epoch': 0.03}
{'loss': 1.1105, 'grad_norm': 0.05434083938598633, 'learning_rate': 0.001, 'epoch': 0.03}
{'loss': 1.1538, 'grad_norm': 0.04940364137291908, 'learning_rate': 0.0009999983978766164, 'epoch': 0.03}
{'loss': 1.1142, 'grad_norm': 0.05537751689553261, 'learning_rate': 0.0009999935915167334, 'epoch': 0.03}
{'loss': 1.1281, 'grad_norm': 0.05337028577923775, 'learning_rate': 0.0009999855809511517, 'epoch': 0.03}
{'loss': 1.1519, 'grad_norm': 0.0552782341837883, 'learning_rate': 0.0009999743662312075, 'epoch': 0.03}
{'loss': 1.1379, 'grad_norm': 0.0533059760928154, 'learning_rate': 0.0009999599474287701, 'epoch': 0.04}
{'loss': 1.1776, 'grad_norm': 0.05149432271718979, 'learning_rate': 0.0009999423246362426, 'epoch': 0.04}
{'loss': 1.2111, 'grad_norm': 0.05164778605103493, 'learning_rate': 0.00099992149796656, 'epoch': 0.04}
{'loss': 1.1565, 'grad_norm': 0.05018555745482445, 'learning_rate': 0.0009998974675531904, 'epoch': 0.04}
{'loss': 1.1396, 'grad_norm': 0.05222618207335472, 'learning_rate': 0.0009998702335501323, 'epoch': 0.04}
{'loss': 1.1265, 'grad_norm': 0.052203670144081116, 'learning_rate': 0.0009998397961319145, 'epoch': 0.04}
{'loss': 1.17, 'grad_norm': 0.05048488825559616, 'learning_rate': 0.0009998061554935954, 'epoch': 0.04}
{'loss': 1.1616, 'grad_norm': 0.04938894137740135, 'learning_rate': 0.0009997693118507602, 'epoch': 0.04}
{'loss': 1.1194, 'grad_norm': 0.049925547093153, 'learning_rate': 0.000999729265439522, 'epoch': 0.04}
{'loss': 1.1491, 'grad_norm': 0.04854033514857292, 'learning_rate': 0.0009996860165165172, 'epoch': 0.04}
{'loss': 1.1305, 'grad_norm': 0.0518072247505188, 'learning_rate': 0.0009996395653589065, 'epoch': 0.04}
{'loss': 1.1325, 'grad_norm': 0.062479279935359955, 'learning_rate': 0.0009995899122643718, 'epoch': 0.04}
{'loss': 1.1383, 'grad_norm': 0.053409598767757416, 'learning_rate': 0.000999537057551115, 'epoch': 0.04}
{'loss': 1.1117, 'grad_norm': 0.05318225920200348, 'learning_rate': 0.0009994810015578547, 'epoch': 0.05}
[2026-02-12 13:47:18,629] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 1.1113, 'grad_norm': 0.05552695691585541, 'learning_rate': 0.0009994217446438257, 'epoch': 0.05}
{'loss': 1.1875, 'grad_norm': 0.04898887127637863, 'learning_rate': 0.0009993592871887754, 'epoch': 0.05}
{'loss': 1.1368, 'grad_norm': 0.05711538344621658, 'learning_rate': 0.000999293629592962, 'epoch': 0.05}
{'loss': 1.1197, 'grad_norm': 0.04630899429321289, 'learning_rate': 0.0009992247722771517, 'epoch': 0.05}
{'loss': 1.1283, 'grad_norm': 0.04723246768116951, 'learning_rate': 0.0009991527156826164, 'epoch': 0.05}
{'loss': 1.0985, 'grad_norm': 0.05149955302476883, 'learning_rate': 0.00099907746027113, 'epoch': 0.05}
{'loss': 1.1216, 'grad_norm': 0.05567796528339386, 'learning_rate': 0.0009989990065249665, 'epoch': 0.05}
{'loss': 1.1472, 'grad_norm': 0.04995802044868469, 'learning_rate': 0.0009989173549468963, 'epoch': 0.05}
{'loss': 1.0823, 'grad_norm': 0.06582847982645035, 'learning_rate': 0.000998832506060183, 'epoch': 0.05}
{'loss': 1.1473, 'grad_norm': 0.051138926297426224, 'learning_rate': 0.00099874446040858, 'epoch': 0.05}
{'loss': 1.1478, 'grad_norm': 0.05385331064462662, 'learning_rate': 0.0009986532185563275, 'epoch': 0.05}
{'loss': 1.1581, 'grad_norm': 0.054628245532512665, 'learning_rate': 0.0009985587810881478, 'epoch': 0.05}
{'loss': 1.1253, 'grad_norm': 0.04956622049212456, 'learning_rate': 0.0009984611486092436, 'epoch': 0.06}
{'loss': 1.1767, 'grad_norm': 0.05429753288626671, 'learning_rate': 0.0009983603217452914, 'epoch': 0.06}
{'loss': 1.1015, 'grad_norm': 0.053512025624513626, 'learning_rate': 0.0009982563011424396, 'epoch': 0.06}
{'loss': 1.1303, 'grad_norm': 0.05172767862677574, 'learning_rate': 0.0009981490874673038, 'epoch': 0.06}
{'loss': 1.0998, 'grad_norm': 0.046612899750471115, 'learning_rate': 0.000998038681406962, 'epoch': 0.06}
{'loss': 1.1185, 'grad_norm': 0.05437733978033066, 'learning_rate': 0.0009979250836689509, 'epoch': 0.06}
{'loss': 1.1299, 'grad_norm': 0.05117166042327881, 'learning_rate': 0.0009978082949812605, 'epoch': 0.06}
{'loss': 1.1303, 'grad_norm': 0.05130142718553543, 'learning_rate': 0.0009976883160923305, 'epoch': 0.06}
{'loss': 1.1283, 'grad_norm': 0.05185704305768013, 'learning_rate': 0.000997565147771045, 'epoch': 0.06}
{'loss': 1.1049, 'grad_norm': 0.04846031963825226, 'learning_rate': 0.0009974387908067272, 'epoch': 0.06}
{'loss': 1.0729, 'grad_norm': 0.047640129923820496, 'learning_rate': 0.000997309246009135, 'epoch': 0.06}
{'loss': 1.1078, 'grad_norm': 0.05509425327181816, 'learning_rate': 0.0009971765142084553, 'epoch': 0.06}
{'loss': 1.1188, 'grad_norm': 0.053827427327632904, 'learning_rate': 0.000997040596255299, 'epoch': 0.06}
{'loss': 1.141, 'grad_norm': 0.05074257403612137, 'learning_rate': 0.0009969014930206956, 'epoch': 0.07}
{'loss': 1.1042, 'grad_norm': 0.04950879514217377, 'learning_rate': 0.0009967592053960871, 'epoch': 0.07}
{'loss': 1.1149, 'grad_norm': 0.04888732731342316, 'learning_rate': 0.0009966137342933231, 'epoch': 0.07}
{'loss': 1.1311, 'grad_norm': 0.05326785147190094, 'learning_rate': 0.0009964650806446537, 'epoch': 0.07}
{'loss': 1.1273, 'grad_norm': 0.050583068281412125, 'learning_rate': 0.0009963132454027252, 'epoch': 0.07}
{'loss': 1.113, 'grad_norm': 0.0495125986635685, 'learning_rate': 0.0009961582295405728, 'epoch': 0.07}
{'loss': 1.1028, 'grad_norm': 0.046755462884902954, 'learning_rate': 0.0009960000340516145, 'epoch': 0.07}
{'loss': 1.1018, 'grad_norm': 0.0461263544857502, 'learning_rate': 0.000995838659949645, 'epoch': 0.07}
{'loss': 1.1441, 'grad_norm': 0.04538014531135559, 'learning_rate': 0.0009956741082688294, 'epoch': 0.07}
{'loss': 1.1363, 'grad_norm': 0.0508776418864727, 'learning_rate': 0.0009955063800636962, 'epoch': 0.07}
{'loss': 1.1644, 'grad_norm': 0.05062185600399971, 'learning_rate': 0.00099533547640913, 'epoch': 0.07}
{'loss': 1.1354, 'grad_norm': 0.04968680068850517, 'learning_rate': 0.0009951613984003661, 'epoch': 0.07}
{'loss': 1.1293, 'grad_norm': 0.04877632111310959, 'learning_rate': 0.0009949841471529825, 'epoch': 0.08}
{'loss': 1.1256, 'grad_norm': 0.04505695030093193, 'learning_rate': 0.0009948037238028922, 'epoch': 0.08}
{'loss': 1.1155, 'grad_norm': 0.05082326382398605, 'learning_rate': 0.0009946201295063376, 'epoch': 0.08}
{'loss': 1.1345, 'grad_norm': 0.048243843019008636, 'learning_rate': 0.0009944333654398811, 'epoch': 0.08}
{'loss': 1.1948, 'grad_norm': 0.0483366884291172, 'learning_rate': 0.0009942434328003992, 'epoch': 0.08}
{'loss': 1.1421, 'grad_norm': 0.04841645807027817, 'learning_rate': 0.0009940503328050739, 'epoch': 0.08}
{'loss': 1.1406, 'grad_norm': 0.04706200584769249, 'learning_rate': 0.0009938540666913857, 'epoch': 0.08}
{'loss': 1.1438, 'grad_norm': 0.04917016252875328, 'learning_rate': 0.0009936546357171038, 'epoch': 0.08}
{'loss': 1.1304, 'grad_norm': 0.04739467799663544, 'learning_rate': 0.0009934520411602815, 'epoch': 0.08}
{'loss': 1.1156, 'grad_norm': 0.05062092840671539, 'learning_rate': 0.0009932462843192436, 'epoch': 0.08}
{'loss': 1.1091, 'grad_norm': 0.046299323439598083, 'learning_rate': 0.0009930373665125822, 'epoch': 0.08}
{'loss': 1.0981, 'grad_norm': 0.048143744468688965, 'learning_rate': 0.0009928252890791455, 'epoch': 0.08}
{'loss': 1.1619, 'grad_norm': 0.050923582166433334, 'learning_rate': 0.0009926100533780304, 'epoch': 0.08}
{'loss': 1.1478, 'grad_norm': 0.05447116866707802, 'learning_rate': 0.0009923916607885734, 'epoch': 0.09}
{'loss': 1.1124, 'grad_norm': 0.04468100890517235, 'learning_rate': 0.000992170112710342, 'epoch': 0.09}
{'loss': 1.1495, 'grad_norm': 0.04592655599117279, 'learning_rate': 0.0009919454105631255, 'epoch': 0.09}
{'loss': 1.0784, 'grad_norm': 0.041995298117399216, 'learning_rate': 0.0009917175557869267, 'epoch': 0.09}
{'loss': 1.0864, 'grad_norm': 0.04366737976670265, 'learning_rate': 0.000991486549841951, 'epoch': 0.09}
{'loss': 1.1309, 'grad_norm': 0.04559065029025078, 'learning_rate': 0.0009912523942085985, 'epoch': 0.09}
{'loss': 1.1377, 'grad_norm': 0.056603576987981796, 'learning_rate': 0.0009910150903874543, 'epoch': 0.09}
{'loss': 1.1108, 'grad_norm': 0.046721212565898895, 'learning_rate': 0.000990774639899278, 'epoch': 0.09}
{'loss': 1.1072, 'grad_norm': 0.049383509904146194, 'learning_rate': 0.0009905310442849954, 'epoch': 0.09}
{'loss': 1.1482, 'grad_norm': 0.0490083247423172, 'learning_rate': 0.0009902843051056874, 'epoch': 0.09}
{'loss': 1.1587, 'grad_norm': 0.05004168674349785, 'learning_rate': 0.0009900344239425801, 'epoch': 0.09}
{'loss': 1.1426, 'grad_norm': 0.04685940966010094, 'learning_rate': 0.0009897814023970355, 'epoch': 0.09}
{'loss': 1.104, 'grad_norm': 0.04862339794635773, 'learning_rate': 0.0009895252420905408, 'epoch': 0.09}
{'loss': 1.1322, 'grad_norm': 0.05165766552090645, 'learning_rate': 0.0009892659446646974, 'epoch': 0.1}
{'loss': 1.0923, 'grad_norm': 0.051001932471990585, 'learning_rate': 0.000989003511781211, 'epoch': 0.1}
{'loss': 1.118, 'grad_norm': 0.04470464587211609, 'learning_rate': 0.0009887379451218817, 'epoch': 0.1}
{'loss': 1.096, 'grad_norm': 0.055079054087400436, 'learning_rate': 0.000988469246388591, 'epoch': 0.1}
{'loss': 1.1367, 'grad_norm': 0.04987156391143799, 'learning_rate': 0.0009881974173032932, 'epoch': 0.1}
[2026-02-12 14:23:14,162] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 1.1061, 'grad_norm': 0.053854189813137054, 'learning_rate': 0.0009879224596080034, 'epoch': 0.1}
{'loss': 1.113, 'grad_norm': 0.04426424577832222, 'learning_rate': 0.000987644375064786, 'epoch': 0.1}
{'loss': 1.1566, 'grad_norm': 0.047274790704250336, 'learning_rate': 0.0009873631654557442, 'epoch': 0.1}
{'loss': 1.0934, 'grad_norm': 0.04292130097746849, 'learning_rate': 0.0009870788325830077, 'epoch': 0.1}
{'loss': 1.1094, 'grad_norm': 0.051824312657117844, 'learning_rate': 0.0009867913782687224, 'epoch': 0.1}
{'loss': 1.0663, 'grad_norm': 0.046608466655015945, 'learning_rate': 0.000986500804355037, 'epoch': 0.1}
{'loss': 1.1199, 'grad_norm': 0.044685911387205124, 'learning_rate': 0.0009862071127040924, 'epoch': 0.1}
{'loss': 1.1078, 'grad_norm': 0.04826384037733078, 'learning_rate': 0.0009859103051980099, 'epoch': 0.1}
{'loss': 1.1352, 'grad_norm': 0.04841744899749756, 'learning_rate': 0.0009856103837388786, 'epoch': 0.11}
{'loss': 1.0844, 'grad_norm': 0.05229371786117554, 'learning_rate': 0.000985307350248743, 'epoch': 0.11}
{'loss': 1.1311, 'grad_norm': 0.046943627297878265, 'learning_rate': 0.0009850012066695913, 'epoch': 0.11}
{'loss': 1.1445, 'grad_norm': 0.04948587715625763, 'learning_rate': 0.0009846919549633426, 'epoch': 0.11}
{'loss': 1.1126, 'grad_norm': 0.051662378013134, 'learning_rate': 0.0009843795971118347, 'epoch': 0.11}
{'loss': 1.0824, 'grad_norm': 0.050805721431970596, 'learning_rate': 0.0009840641351168105, 'epoch': 0.11}
{'loss': 1.1257, 'grad_norm': 0.048897579312324524, 'learning_rate': 0.0009837455709999065, 'epoch': 0.11}
{'loss': 1.158, 'grad_norm': 0.05107104033231735, 'learning_rate': 0.0009834239068026388, 'epoch': 0.11}
{'loss': 1.1431, 'grad_norm': 0.050202224403619766, 'learning_rate': 0.00098309914458639, 'epoch': 0.11}
{'loss': 1.13, 'grad_norm': 0.05162781849503517, 'learning_rate': 0.000982771286432397, 'epoch': 0.11}
{'loss': 1.1328, 'grad_norm': 0.04578348994255066, 'learning_rate': 0.0009824403344417362, 'epoch': 0.11}
{'loss': 1.151, 'grad_norm': 0.047432608902454376, 'learning_rate': 0.000982106290735312, 'epoch': 0.11}
{'loss': 1.1391, 'grad_norm': 0.04884564131498337, 'learning_rate': 0.0009817691574538407, 'epoch': 0.11}
{'loss': 1.1391, 'grad_norm': 0.046894632279872894, 'learning_rate': 0.0009814289367578392, 'epoch': 0.12}
{'loss': 1.1116, 'grad_norm': 0.04746396094560623, 'learning_rate': 0.0009810856308276091, 'epoch': 0.12}
{'loss': 1.1381, 'grad_norm': 0.05168606713414192, 'learning_rate': 0.0009807392418632245, 'epoch': 0.12}
{'loss': 1.0658, 'grad_norm': 0.05101317539811134, 'learning_rate': 0.0009803897720845171, 'epoch': 0.12}
{'loss': 1.0999, 'grad_norm': 0.04702001065015793, 'learning_rate': 0.0009800372237310615, 'epoch': 0.12}
{'loss': 1.1273, 'grad_norm': 0.04886922612786293, 'learning_rate': 0.0009796815990621615, 'epoch': 0.12}
{'loss': 1.1427, 'grad_norm': 0.0482710637152195, 'learning_rate': 0.0009793229003568357, 'epoch': 0.12}
{'loss': 1.1186, 'grad_norm': 0.05173197016119957, 'learning_rate': 0.0009789611299138021, 'epoch': 0.12}
{'loss': 1.1594, 'grad_norm': 0.0485835038125515, 'learning_rate': 0.0009785962900514644, 'epoch': 0.12}
{'loss': 1.0976, 'grad_norm': 0.04538516700267792, 'learning_rate': 0.0009782283831078966, 'epoch': 0.12}
{'loss': 1.1044, 'grad_norm': 0.04947648197412491, 'learning_rate': 0.0009778574114408278, 'epoch': 0.12}
{'loss': 1.1296, 'grad_norm': 0.0465865395963192, 'learning_rate': 0.0009774833774276277, 'epoch': 0.12}
[2026-02-12 14:40:42,159] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 1.1514, 'grad_norm': 0.050656627863645554, 'learning_rate': 0.0009771062834652907, 'epoch': 0.13}
{'loss': 1.1163, 'grad_norm': 0.046603623777627945, 'learning_rate': 0.000976726131970421, 'epoch': 0.13}
{'loss': 1.0877, 'grad_norm': 0.04851797968149185, 'learning_rate': 0.0009763429253792173, 'epoch': 0.13}
{'loss': 1.1114, 'grad_norm': 0.04526031017303467, 'learning_rate': 0.0009759566661474561, 'epoch': 0.13}
[2026-02-12 14:42:53,527] [WARNING] [stage3.py:2274:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 1.1497, 'grad_norm': 0.05014140531420708, 'learning_rate': 0.0009755673567504777, 'epoch': 0.13}
{'loss': 1.0566, 'grad_norm': 0.04259839653968811, 'learning_rate': 0.0009751749996831685, 'epoch': 0.13}
{'loss': 1.118, 'grad_norm': 0.0433746837079525, 'learning_rate': 0.0009747795974599463, 'epoch': 0.13}
{'loss': 1.1579, 'grad_norm': 0.04861307144165039, 'learning_rate': 0.0009743811526147437, 'epoch': 0.13}
{'loss': 1.0877, 'grad_norm': 0.04286465793848038, 'learning_rate': 0.000973979667700992, 'epoch': 0.13}
{'loss': 1.1477, 'grad_norm': 0.0459551066160202, 'learning_rate': 0.0009735751452916044, 'epoch': 0.13}
{'loss': 1.0944, 'grad_norm': 0.052771177142858505, 'learning_rate': 0.0009731675879789606, 'epoch': 0.13}
{'loss': 1.1282, 'grad_norm': 0.04350415989756584, 'learning_rate': 0.0009727569983748885, 'epoch': 0.13}
{'loss': 1.1485, 'grad_norm': 0.048878006637096405, 'learning_rate': 0.0009723433791106493, 'epoch': 0.13}
{'loss': 1.1407, 'grad_norm': 0.04583267495036125, 'learning_rate': 0.0009719267328369192, 'epoch': 0.14}
{'loss': 1.1193, 'grad_norm': 0.053629886358976364, 'learning_rate': 0.0009715070622237734, 'epoch': 0.14}
{'loss': 1.1183, 'grad_norm': 0.04966820031404495, 'learning_rate': 0.0009710843699606679, 'epoch': 0.14}
{'loss': 1.1161, 'grad_norm': 0.05974268168210983, 'learning_rate': 0.0009706586587564235, 'epoch': 0.14}
{'loss': 1.1247, 'grad_norm': 0.04479203373193741, 'learning_rate': 0.0009702299313392079, 'epoch': 0.14}
{'loss': 1.1259, 'grad_norm': 0.04660011827945709, 'learning_rate': 0.0009697981904565178, 'epoch': 0.14}
{'loss': 1.1476, 'grad_norm': 0.04864250496029854, 'learning_rate': 0.0009693634388751618, 'epoch': 0.14}
{'loss': 1.072, 'grad_norm': 0.0465063601732254, 'learning_rate': 0.0009689256793812426, 'epoch': 0.14}
{'loss': 1.1213, 'grad_norm': 0.047773897647857666, 'learning_rate': 0.0009684849147801394, 'epoch': 0.14}
{'loss': 1.1434, 'grad_norm': 0.048912107944488525, 'learning_rate': 0.000968041147896489, 'epoch': 0.14}
{'loss': 1.1266, 'grad_norm': 0.0478362999856472, 'learning_rate': 0.0009675943815741685, 'epoch': 0.14}
{'loss': 1.1164, 'grad_norm': 0.05092700198292732, 'learning_rate': 0.0009671446186762774, 'epoch': 0.14}
{'loss': 1.1312, 'grad_norm': 0.047397661954164505, 'learning_rate': 0.0009666918620851179, 'epoch': 0.14}
{'loss': 1.1642, 'grad_norm': 0.05288519710302353, 'learning_rate': 0.0009662361147021779, 'epoch': 0.15}
{'loss': 1.1243, 'grad_norm': 0.0445098914206028, 'learning_rate': 0.0009657773794481115, 'epoch': 0.15}
{'loss': 1.1382, 'grad_norm': 0.0477246455848217, 'learning_rate': 0.0009653156592627208, 'epoch': 0.15}
{'loss': 1.0864, 'grad_norm': 0.04798978194594383, 'learning_rate': 0.0009648509571049362, 'epoch': 0.15}
{'loss': 1.1431, 'grad_norm': 0.052792251110076904, 'learning_rate': 0.0009643832759527989, 'epoch': 0.15}
{'loss': 1.1349, 'grad_norm': 0.0434621199965477, 'learning_rate': 0.0009639126188034403, 'epoch': 0.15}
{'loss': 1.0972, 'grad_norm': 0.04586605355143547, 'learning_rate': 0.0009634389886730638, 'epoch': 0.15}
{'loss': 1.0945, 'grad_norm': 0.04476096108555794, 'learning_rate': 0.000962962388596925, 'epoch': 0.15}
{'loss': 1.0577, 'grad_norm': 0.04116693511605263, 'learning_rate': 0.0009624828216293123, 'epoch': 0.15}
{'loss': 1.0943, 'grad_norm': 0.04365834221243858, 'learning_rate': 0.0009620002908435277, 'epoch': 0.15}
{'loss': 1.1615, 'grad_norm': 0.04468391835689545, 'learning_rate': 0.0009615147993318664, 'epoch': 0.15}
{'loss': 1.0986, 'grad_norm': 0.04158564284443855, 'learning_rate': 0.0009610263502055979, 'epoch': 0.15}
{'loss': 1.0778, 'grad_norm': 0.042760320007801056, 'learning_rate': 0.0009605349465949451, 'epoch': 0.15}
{'loss': 1.12, 'grad_norm': 0.04770461097359657, 'learning_rate': 0.0009600405916490649, 'epoch': 0.16}
{'loss': 1.1482, 'grad_norm': 0.0525767020881176, 'learning_rate': 0.0009595432885360275, 'epoch': 0.16}
{'loss': 1.1208, 'grad_norm': 0.04225229099392891, 'learning_rate': 0.0009590430404427972, 'epoch': 0.16}
{'loss': 1.1081, 'grad_norm': 0.04726823791861534, 'learning_rate': 0.0009585398505752103, 'epoch': 0.16}
{'loss': 1.1209, 'grad_norm': 0.04802430793642998, 'learning_rate': 0.000958033722157956, 'epoch': 0.16}
{'loss': 1.1538, 'grad_norm': 0.04659527167677879, 'learning_rate': 0.0009575246584345547, 'epoch': 0.16}
{'loss': 1.1094, 'grad_norm': 0.04405313357710838, 'learning_rate': 0.0009570126626673384, 'epoch': 0.16}
{'loss': 1.0835, 'grad_norm': 0.0472576841711998, 'learning_rate': 0.0009564977381374284, 'epoch': 0.16}
{'loss': 1.1238, 'grad_norm': 0.04464544728398323, 'learning_rate': 0.0009559798881447151, 'epoch': 0.16}
{'loss': 1.1083, 'grad_norm': 0.04855857416987419, 'learning_rate': 0.0009554591160078372, 'epoch': 0.16}
{'loss': 1.0998, 'grad_norm': 0.04681413993239403, 'learning_rate': 0.0009549354250641593, 'epoch': 0.16}
{'loss': 1.067, 'grad_norm': 0.05097722262144089, 'learning_rate': 0.0009544088186697515, 'epoch': 0.16}
{'loss': 1.1441, 'grad_norm': 0.04567621648311615, 'learning_rate': 0.0009538793001993676, 'epoch': 0.16}
{'loss': 1.1346, 'grad_norm': 0.04258723556995392, 'learning_rate': 0.0009533468730464229, 'epoch': 0.17}
{'loss': 1.083, 'grad_norm': 0.045834533870220184, 'learning_rate': 0.0009528115406229737, 'epoch': 0.17}
